,Current Coylton GSP Electricity Demand (MWh),Future Coylton Electricity Demand (MWh),Coylton 33kV Wind (MWh),Coylton GSP Wind (MWh),Domestic Heat per kWh,Air Temp (DegC),West Whitlawburn District Heating (kWh)
124,10.27030454,40.48057477,23.46078419,100.1771149,0.000110855,5.571,283.90125
125,10.55308289,39.8873817,22.57843169,99.38766231,0.000107252,5.571,283.90125
126,10.7298762,39.77037783,22.58485715,99.18236988,0.000108969,6.135,322.45125
127,10.45517003,38.72219104,23.10332538,100.7498684,0.000107994,6.135,322.45125
128,10.28789045,37.39442748,22.61121492,97.35342398,0.00010376,6.451,336.03375
129,10.18070438,35.56390027,22.39188798,101.3341461,9.61E-05,6.451,336.03375
130,9.666779265,33.33052052,21.30900873,95.24771469,9.04E-05,6.392,393.78625
131,9.028225067,30.53645293,22.32339031,95.84370478,7.89E-05,6.392,393.78625
132,8.690107511,28.4380019,20.38948386,93.21184167,6.87E-05,6.342,449.5975
133,7.685603328,24.67753548,20.07551056,93.05521828,5.25E-05,6.342,449.5975
134,7.17812232,22.22557037,19.57711316,90.97048087,4.22E-05,6.279,371.5475
135,6.698720574,20.71113471,19.6339208,89.01977608,3.60E-05,6.279,371.5475
136,6.149621437,18.61119265,17.35796238,84.27854302,2.77E-05,6.179,339.86375
137,5.96995818,17.23628437,17.46688735,83.2812815,2.02E-05,6.179,339.86375
138,5.565414161,16.55479117,16.70086458,82.76622319,1.94E-05,6.068,325.89125
139,5.281374273,15.85413043,16.33829794,81.16721373,1.71E-05,6.068,325.89125
140,5.148502465,15.33232904,14.37645931,72.24616092,1.47E-05,5.874,265.76875
141,5.049180748,14.97553558,13.77299774,72.40667052,1.39E-05,5.874,265.76875
142,5.149398182,15.03972127,11.2898949,58.53162614,1.30E-05,5.647,209.44375
143,5.15594062,14.95702395,11.54444267,61.31168553,1.27E-05,5.647,209.44375
144,8.412198439,19.61961355,9.827851822,53.21745691,2.14E-05,5.507,171.515
145,8.364884488,20.0754186,9.641586438,54.63984909,2.39E-05,5.507,171.515
146,8.598923985,21.88969997,7.030557429,41.46678027,3.28E-05,5.349,164.03375
147,8.837086212,24.14792677,7.03449551,42.19741368,4.48E-05,5.349,164.03375
148,9.368692954,28.46423264,5.177878107,33.28771575,6.57E-05,4.941,170.64875
149,10.10516148,34.92277944,5.380963791,33.43352207,9.70E-05,4.941,170.64875
150,10.76414332,41.63067602,3.563861554,22.99104552,0.000124202,4.746,142.64375
151,11.5321031,45.92216076,3.593304715,22.64265309,0.000133764,4.746,142.64375
152,11.62158809,47.60816498,2.143114881,14.74848947,0.000134013,4.757,201.53625
